timestamp,demand_units,cost_usd,service_availability_pct,hour,day,weekday,month,quarter,is_weekend,is_month_start,is_month_end,is_business_hour,lag_1,lag_24,lag_168,rolling_mean_6,rolling_mean_24,rolling_std_24,rolling_max_24,rolling_min_24,demand_growth_rate,usage_spike,extreme_spike,urgency_encoded,sla_encoded,low_availability_flag,cost_per_unit,is_auto_allocated,priority_score,azure_region_India-South,azure_region_India-West,azure_region_US-East,azure_region_US-West,service_type_Storage
2023-01-08 00:00:00,681,2157.61,99.95,0,8,6,1,1,1,0,0,0,156.0,941.0,458.0,422.1666666666667,560.875,253.28679611649042,970.0,156.0,3.365384615384615,0,0,2,2,0,3.1682966226138034,0,4,False,False,True,False,False
2023-01-08 01:00:00,655,4592.8,98.89,1,8,6,1,1,1,0,0,0,681.0,427.0,334.0,493.5,570.375,252.32119153105677,970.0,156.0,-0.038179148311306865,0,0,2,3,1,7.011908396946565,0,6,True,False,False,False,True
2023-01-08 02:00:00,823,146.62,95.02,2,8,6,1,1,1,0,0,0,655.0,880.0,859.0,554.3333333333334,568.0,249.53295504236303,970.0,156.0,0.2564885496183207,1,0,1,2,1,0.17815309842041313,1,2,False,False,True,False,True
2023-01-08 03:00:00,786,362.1,99.64,3,8,6,1,1,1,0,0,0,823.0,829.0,264.0,642.8333333333334,566.2083333333334,247.72530003082522,970.0,156.0,-0.04495747266099637,0,0,2,2,0,0.4606870229007634,0,4,False,False,True,False,False
2023-01-08 04:00:00,752,2513.31,96.46,4,8,6,1,1,1,0,0,0,786.0,353.0,816.0,642.1666666666666,582.8333333333334,246.17838471614309,970.0,156.0,-0.043256997455470736,0,0,1,2,1,3.3421675531914894,0,2,False,False,False,True,True
2023-01-08 05:00:00,175,1719.5,97.08,5,8,6,1,1,1,0,0,0,752.0,539.0,526.0,645.3333333333334,567.6666666666666,259.8304910089866,970.0,156.0,-0.7672872340425532,0,0,3,2,1,9.825714285714286,0,6,True,False,False,False,False
2023-01-08 06:00:00,257,2100.33,98.06,6,8,6,1,1,1,0,0,0,175.0,670.0,776.0,574.6666666666666,550.4583333333334,266.352819161657,970.0,156.0,0.46857142857142864,0,0,3,2,1,8.17249027237354,0,6,True,False,False,False,False
2023-01-08 07:00:00,184,4989.46,99.58,7,8,6,1,1,1,0,0,0,257.0,643.0,587.0,496.1666666666667,531.3333333333334,275.7328049219841,970.0,156.0,-0.2840466926070039,0,0,3,3,0,27.11663043478261,0,9,False,False,False,True,False
2023-01-08 08:00:00,421,3898.16,99.64,8,8,6,1,1,1,0,0,1,184.0,950.0,312.0,429.1666666666667,509.2916666666667,261.5911976924012,970.0,156.0,1.2880434782608696,0,0,2,1,0,9.259287410926365,0,2,False,True,False,False,False
2023-01-08 09:00:00,408,4399.3,97.82,9,8,6,1,1,1,0,0,1,421.0,219.0,865.0,366.1666666666667,517.1666666666666,255.2399836925287,970.0,156.0,-0.030878859857482177,0,0,1,2,1,10.782598039215687,0,2,False,False,True,False,False
2023-01-08 10:00:00,629,1906.02,96.58,10,8,6,1,1,1,0,0,1,408.0,921.0,256.0,345.6666666666667,505.0,241.75661494479363,970.0,156.0,0.5416666666666667,0,0,3,1,1,3.0302384737678856,0,3,False,False,False,False,True
2023-01-08 11:00:00,383,1273.85,96.4,11,8,6,1,1,1,0,0,1,629.0,613.0,788.0,380.3333333333333,495.4166666666667,241.8479430059968,970.0,156.0,-0.3910969793322735,0,0,2,2,1,3.3259791122715403,1,4,False,False,True,False,True
2023-01-08 12:00:00,999,3863.15,96.82,12,8,6,1,1,1,0,0,1,383.0,729.0,174.0,504.0,506.6666666666667,258.8668730660887,999.0,156.0,1.608355091383812,1,0,2,2,1,3.8670170170170173,0,4,False,False,True,False,False
2023-01-08 13:00:00,141,4057.12,95.9,13,8,6,1,1,1,0,0,1,999.0,648.0,534.0,496.8333333333333,485.5416666666667,267.3789005312037,999.0,141.0,-0.8588588588588588,0,0,2,3,1,28.77390070921986,0,6,False,True,False,False,True
2023-01-08 14:00:00,993,2794.5,98.35,14,8,6,1,1,1,0,0,1,141.0,196.0,277.0,592.1666666666666,518.75,279.09142183007066,999.0,141.0,6.042553191489362,1,0,2,1,1,2.814199395770393,0,2,False,False,True,False,False
2023-01-08 15:00:00,984,4490.11,97.64,15,8,6,1,1,1,0,0,1,993.0,970.0,895.0,688.1666666666666,519.3333333333334,280.0884435885995,999.0,141.0,-0.009063444108761365,1,0,1,3,1,4.563119918699186,0,3,False,False,False,True,True
2023-01-08 16:00:00,233,4839.89,98.87,16,8,6,1,1,1,0,0,1,984.0,469.0,941.0,622.1666666666666,509.5,286.0124655234149,999.0,141.0,-0.7632113821138211,0,0,2,1,1,20.772060085836912,0,2,False,False,False,True,True
2023-01-08 17:00:00,713,2408.0,95.47,17,8,6,1,1,1,0,0,1,233.0,516.0,744.0,677.1666666666666,517.7083333333334,289.01819999359253,999.0,141.0,2.060085836909871,0,0,2,3,1,3.377279102384292,1,6,True,False,False,False,False
2023-01-08 18:00:00,748,1191.07,97.0,18,8,6,1,1,1,0,0,1,713.0,356.0,736.0,635.3333333333334,534.0416666666666,290.554713723021,999.0,141.0,0.04908835904628339,0,0,1,3,1,1.5923395721925133,1,3,False,False,False,False,True
2023-01-08 19:00:00,503,2633.85,96.2,19,8,6,1,1,1,0,0,1,748.0,227.0,411.0,695.6666666666666,545.5416666666666,283.24378486855926,999.0,141.0,-0.32754010695187163,0,0,1,1,1,5.236282306163021,1,1,False,False,True,False,True
2023-01-08 20:00:00,592,4948.71,97.68,20,8,6,1,1,1,0,0,1,503.0,458.0,931.0,628.8333333333334,551.125,282.76343046563795,999.0,141.0,0.17693836978131205,0,0,3,3,1,8.359307432432432,1,9,False,False,True,False,True
2023-01-08 21:00:00,321,1535.34,97.34,21,8,6,1,1,1,0,0,0,592.0,255.0,226.0,518.3333333333334,553.875,280.06634501256246,999.0,141.0,-0.4577702702702703,0,0,1,3,1,4.782990654205607,1,3,False,True,False,False,False
2023-01-08 22:00:00,328,3126.24,97.25,22,8,6,1,1,1,0,0,0,321.0,756.0,476.0,534.1666666666666,536.0416666666666,280.2628392384032,999.0,141.0,0.02180685358255441,0,0,2,2,1,9.531219512195122,0,4,False,False,False,True,True
2023-01-08 23:00:00,905,3500.52,96.58,23,8,6,1,1,1,0,0,0,328.0,156.0,444.0,566.1666666666666,567.25,277.794927489921,999.0,141.0,1.7591463414634148,1,0,3,1,1,3.867977900552486,0,3,False,False,False,False,True
2023-01-09 00:00:00,551,1148.25,98.63,0,9,0,1,1,0,0,0,0,905.0,681.0,324.0,533.3333333333334,561.8333333333334,276.74594638509114,999.0,141.0,-0.3911602209944751,0,0,1,3,1,2.0839382940108893,0,3,True,False,False,False,True
2023-01-09 01:00:00,405,2983.45,97.41,1,9,0,1,1,0,0,0,0,551.0,655.0,116.0,517.0,551.4166666666666,277.7897103717231,999.0,141.0,-0.26497277676951003,0,0,1,1,1,7.366543209876543,0,1,False,False,False,True,True
